"agenre","avg_percent_return"
"Productivity","213.62"
"Reference","212.62"
"Photo & Video","212.14"
"Finance","211.94"
"News","211.85"
"Shopping","211.47"
"Navigation","210.94"
"Business","210.36"
"Social Networking","209.35"
"Sports","208.49"
"Travel","207.26"
"Entertainment","206.71"
"Lifestyle","203.85"
"Food & Drink","203.47"
"Games","202.35"
"Weather","198.43"
"Utilities","198.04"
"Education","190.42"
"Health & Fitness","178.37"
"Book","166.85"
"Catalogs","107.22"
"Medical","64.06"
