"aname","pcontent_rating","avg_rounded_rating","projected_lifespan_years","expected_profit","percent_return"
"Domino's Pizza USA","Everyone",5.0,11,"$178,000.00",217.11
"Design Home","Everyone",4.5,10,"$160,000.00",214.29
"DoorDash - Food Delivery","Everyone",4.5,10,"$160,000.00",214.29
"YouTube Kids","Everyone",4.5,10,"$160,000.00",214.29
"Starbucks","Everyone",4.5,10,"$160,000.00",214.29
"YouTube Kids","Everyone",4.5,10,"$160,000.00",214.29
"Airbnb","Everyone",4.5,10,"$160,000.00",214.29
"Fandango Movies - Times + Tickets","Teen",4.5,10,"$160,000.00",214.29
"Instagram","Teen",4.5,10,"$160,000.00",214.29
"Facebook","Teen",4.0,9,"$142,000.00",210.94
"Southwest Airlines","Everyone",3.5,8,"$124,000.00",206.90
"Uber","Everyone",3.5,8,"$124,000.00",206.90
